Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7101_auto_live_pDCs.fcs,auto,CV7101,pDCs,279,2.6726510524749756,4.785326957702637,21.41927146911621,2.1116015911102295,51.23136901855469,28.289003372192383,13.693981170654297,144.3295135498047,0.6954864859580994,155.94248962402344
151120_CGI002b_CV7101_healthy_live_B cells.fcs,healthy,CV7101,B cells,2841,1.6974443197250366,0.0,9.421268463134766,1.7441211938858032,29.20708656311035,17.13013458251953,1.9329577684402466,62.350711822509766,0.0,8.408790588378906
151120_CGI002b_CV7101_healthy_live_Basophils.fcs,healthy,CV7101,Basophils,137,2.183176279067993,1.5108683109283447,5.907296180725098,1.4022549390792847,1.1479370594024658,0.0,2.2127487659454346,125.1103744506836,0.0,11.002593994140625
151120_CGI002b_CV7101_healthy_live_CD14 monocytes.fcs,healthy,CV7101,CD14 monocytes,10429,5.041282653808594,2.7132277488708496,29.609962463378906,5.248194217681885,43.452598571777344,37.61619186401367,11.137792587280273,238.4922637939453,1.447746753692627,9.451839447021484
151120_CGI002b_CV7101_healthy_live_CD16 monocytes.fcs,healthy,CV7101,CD16 monocytes,1638,5.172385215759277,4.636784315109253,17.178730964660645,4.713644981384277,33.51280403137207,76.3359260559082,8.986156940460205,139.60774993896484,0.0,6.105299711227417
151120_CGI002b_CV7101_healthy_live_CD1c DCs.fcs,healthy,CV7101,CD1c DCs,831,2.9594943523406982,1.7272906303405762,24.95742416381836,2.918870687484741,49.2193489074707,43.585296630859375,37.40050506591797,269.41290283203125,1.1555825471878052,61.102760314941406
151120_CGI002b_CV7101_healthy_live_CD4 T cells.fcs,healthy,CV7101,CD4 T cells,32266,0.6877221465110779,0.0,7.816894292831421,0.5146952569484711,18.488165855407715,15.735602378845215,11.346226215362549,74.09849548339844,2.745812177658081,2.0823142528533936
151120_CGI002b_CV7101_healthy_live_CD8 T cells.fcs,healthy,CV7101,CD8 T cells,39645,0.49570411443710327,0.0,7.288456916809082,0.0,21.468156814575195,16.7923641204834,9.223113059997559,97.46212005615234,2.2992818355560303,2.825813055038452
151120_CGI002b_CV7101_healthy_live_NK cells.fcs,healthy,CV7101,NK cells,18186,1.5992157459259033,0.0,7.829564332962036,0.6348865926265717,25.183249473571777,41.976083755493164,7.463346481323242,120.74544143676758,0.0,2.3470596075057983
151120_CGI002b_CV7101_healthy_live_NKT cells.fcs,healthy,CV7101,NKT cells,32778,0.8543273210525513,0.0,6.429187774658203,0.7866965532302856,19.85981273651123,25.341442108154297,7.30289363861084,71.72224044799805,2.669845938682556,1.3894654512405396
151120_CGI002b_CV7101_healthy_live_Total.fcs,healthy,CV7101,Total,140281,1.0643458366394043,0.0,8.145712852478027,0.7562965154647827,22.268224716186523,21.76442527770996,8.7758207321167,91.50526428222656,1.9582853317260742,2.546161651611328
151120_CGI002b_CV7101_healthy_live_pDCs.fcs,healthy,CV7101,pDCs,387,2.679302930831909,5.028048515319824,21.3557071685791,1.8674466609954834,50.372859954833984,27.171676635742188,12.286706924438477,139.18601989746094,0.6687382459640503,183.9827880859375
151120_CGI002b_CV7102_auto_live_B cells.fcs,auto,CV7102,B cells,4798,0.9184570610523224,0.2675047516822815,8.14508581161499,1.4288670420646667,25.23343849182129,16.532390594482422,2.1811678409576416,62.683305740356445,0.0,8.56520414352417
151120_CGI002b_CV7102_auto_live_Basophils.fcs,auto,CV7102,Basophils,496,5.246771812438965,2.8128844499588013,26.224703788757324,1.312879741191864,13.4780912399292,0.6592745780944824,0.9626018106937408,139.27285766601562,2.139760136604309,7.717293739318848
151120_CGI002b_CV7102_auto_live_CD14 monocytes.fcs,auto,CV7102,CD14 monocytes,9754,5.968080759048462,5.4896979331970215,35.16927909851074,5.04650092124939,44.04890823364258,31.866232872009277,7.4088873863220215,234.34004974365234,2.361166834831238,9.988753318786621
